Hail ID,Date/Time,Latitude,Longitude,Hail size,
344,1990-03-06 05:25:00,-33.6167,150.8167,6.0,
345,1990-03-06 05:40:00,-33.3000,151.2333,2.0,
346,1990-03-06 07:05:00,-33.3167,151.2333,2.0,
347,1990-03-06 08:00:00,-32.7667,152.1667,2.5,
348,1990-03-06 14:00:00,-28.5500,153.5000,8.0,
349,1990-03-07 02:50:00,-28.4000,153.1833,7.0,
350,1990-03-07 04:10:00,-28.8667,153.0500,7.0,
351,1990-03-07 05:00:00,-28.6667,153.2833,7.0,
352,1990-03-07 14:00:00,-28.9834,152.8500,7.5,
353,1990-03-18 05:00:00,-33.8667,151.2000,8.0,
354,1990-07-23 18:00:00,-34.0500,150.8333,2.0,
355,1990-09-21 14:00:00,-29.5500,152.1333,2.5,
356,1990-10-09 04:15:00,-31.0833,150.9334,2.5,
357,1990-10-09 05:00:00,-28.9000,150.7667,7.0,
358,1990-10-11 04:15:00,-33.3500,151.5000,2.0,
359,1990-10-11 05:00:00,-33.8667,151.2000,2.7,
360,1990-10-11 06:45:00,-31.0833,152.8333,2.5,
361,1990-10-15 16:22:00,-30.2167,151.6667,4.2,
362,1990-10-21 06:51:00,-35.1167,147.3667,2.0,
363,1990-11-01 06:00:00,-33.8667,151.2000,3.0,
364,1990-11-03 08:15:00,-34.8834,150.6000,2.0,
365,1990-11-03 14:40:00,-33.7667,148.6500,4.2,
366,1990-11-04 03:00:00,-29.5333,150.5833,2.0,
367,1990-11-04 06:00:00,-30.0667,151.9000,7.0,
368,1990-11-09 04:55:00,-33.8667,151.2000,4.2,
369,1990-11-28 14:00:00,-32.4000,151.7500,5.0,
370,1990-12-10 01:35:00,-33.0333,151.6667,4.2,
371,1990-12-10 01:55:00,-32.9334,151.7667,4.2,
372,1990-12-10 06:00:00,-34.6667,150.8834,2.0,
373,1990-12-10 07:33:00,-34.4333,150.8834,4.2,
374,1990-12-10 09:40:00,-33.8667,151.2000,4.2,
375,1990-12-16 06:00:00,-34.5833,150.6167,3.0,
376,1990-12-16 06:00:00,-34.5000,150.7833,4.2,
377,1990-12-16 07:15:00,-34.5000,150.7833,4.2,
378,1990-12-22 06:30:00,-28.7333,152.6167,7.0,
379,1991-01-11 02:45:00,-33.4833,150.1667,2.0,
380,1991-01-16 04:30:00,-30.7500,150.7167,2.0,
381,1991-01-19 07:00:00,-30.7000,150.0500,0.0,
382,1991-01-20 03:10:00,-33.6000,150.7500,2.0,
383,1991-01-20 05:00:00,-31.8667,152.3667,3.0,
384,1991-01-20 14:00:00,-33.6833,150.2833,4.2,
385,1991-01-21 01:30:00,-35.2167,147.5167,5.5,
386,1991-01-21 04:45:00,-33.6670,151.1830,7.0,
387,1991-01-21 05:15:00,-33.9170,151.5670,2.0,
388,1991-01-21 05:45:00,-33.7330,151.1330,2.0,
389,1991-01-21 05:45:00,-33.7330,151.1000,4.2,
390,1991-01-21 06:00:00,-33.5670,151.3170,7.0,
391,1991-01-23 14:00:00,-34.8667,147.5833,6.0,
392,1991-02-12 03:50:00,-31.2667,149.0667,2.0,
393,1991-03-11 05:10:00,-33.9334,150.9500,2.5,
394,1991-03-15 04:50:00,-32.2333,148.2500,2.0,
